id,firstName,lastName,email,phone,city,status,customerType
1050,Rahul,Sharma,rahul.sharma@smarterp.com,9876543210,Hyderabad,Active,Premium
1002,Priya,Reddy,priya.reddy@smarterp.com,9123456780,Bengaluru,Active,Gold
1003,John,David,john.david@smarterp.com,9988776655,Chennai,Inactive,Silver
1004,Anjali,Verma,anjali.verma@smarterp.com,9001122334,Pune,Active,Premium
1005,Vikram,Singh,vikram.singh@smarterp.com,9090909090,Delhi,Suspended,Gold
1006,Sneha,Patel,sneha.patel@smarterp.com,9887766554,Ahmedabad,Active,Silver
1007,Arjun,Kumar,arjun.kumar@smarterp.com,9871112233,Mumbai,Active,Premium
1008,Meera,Iyer,meera.iyer@smarterp.com,9776655443,Kochi,Inactive,Silver
1009,Kiran,Naidu,kiran.naidu@smarterp.com,9665544332,Visakhapatnam,Active,Gold
1010,Pooja,Joshi,pooja.joshi@smarterp.com,9554433221,Jaipur,Active,Premium
1011,Sneha,Patel,sneha.patel@smarterp.com,9876501234,Mumbai,Active,Gold
1012,Arjun,Kumar,arjun.kumar@smarterp.com,9988771122,Hyderabad,Inactive,Premium
1013,Meera,Nair,meera.nair@smarterp.com,9000011111,Kochi,Active,Silver
1014,Rohit,Gupta,rohit.gupta@smarterp.com,9898989898,Delhi,Suspended,Gold
1015,Kavya,Rao,kavya.rao@smarterp.com,9012345678,Bengaluru,Active,Premium
1016,Amit,Joshi,amit.joshi@smarterp.com,9123456780,Pune,Inactive,Silver
1017,Neha,Singh,neha.singh@smarterp.com,9988112233,Lucknow,Active,Gold
1018,Suresh,Iyer,suresh.iyer@smarterp.com,9345678901,Chennai,Active,Premium
1019,Pooja,Sharma,pooja.sharma@smarterp.com,9871112233,Jaipur,Suspended,Silver
1020,Nikhil,Reddy,nikhil.reddy@smarterp.com,9888877766,Hyderabad,Active,Gold
1021,Ramesh,Sharma,Ramesh.sharma@smarterp.com,9876543218,Hyderabad,Active,Premium
1022,Priyanka,Reddy,Priyanka.reddy@smarterp.com,9123456786,Bengaluru,Active,Gold
1023,Johnatas,David,Johnatas.david@smarterp.com,9988776685,Chennai,Inactive,Silver
1024,Anjali,Varma,anjali.varma@smarterp.com,9001122331,Pune,Active,Premium
1025,Vikram,Singhania,vikram.Singhania@smarterp.com,9090909099,Delhi,Suspended,Gold
1026,Snehali,Patel,Snehali.patel@smarterp.com,9887766558,Ahmedabad,Active,Silver
1027,Arjun,Kumari,arjun.kumari@smarterp.com,9871112236,Mumbai,Active,Premium
1028,Meeren,Iyer,Meeren.iyer@smarterp.com,9776655743,Kochi,Inactive,Silver
1029,Kiran,Naidu,kiran.naidu@smarterp.com,9665544332,Visakhapatnam,Active,Gold
1030,Pooja,Joshi,pooja.joshi@smarterp.com,9554433221,Jaipur,Active,Premium
1031,Arjun,Kumar,arjun.kumar@smarterp.com,9988771122,Hyderabad,Inactive,Premium
1032,Meera,Nair,meera.nair@smarterp.com,9000011111,Kochi,Active,Silver
1033,Rohit,Gupta,rohit.gupta@smarterp.com,9898989878,Delhi,Suspended,Gold
1034,Kavya,Rao,kavya.rao@smarterp.com,9012345678,Bengaluru,Active,Premium
1035,Amitab,Joshi,amitab.joshi@smarterp.com,9123456789,Pune,Inactive,Silver
1036,Neha,Singh,neha.singh@smarterp.com,9988112233,Lucknow,Active,Gold
1037,Suresh,Iyer,suresh.iyer@smarterp.com,9345678901,Chennai,Active,Premium
1038,Pooja,Sharma,pooja.sharma@smarterp.com,9871112233,Jaipur,Suspended,Silver
1039,Nikhil,Reddy,nikhil.reddy@smarterp.com,9888877766,Hyderabad,Active,Gold
